"state","year","t","lambda_max"
"biomass_focal9",2006,56,1.06550456807433
"biomass_focal9",2007,57,1.0741895103394
"biomass_focal9",2008,58,1.078403642782
"biomass_focal9",2009,59,1.0791193972304
"biomass_focal9",2010,60,1.01852091285531
"biomass_focal9",2011,61,0.834540242354535
"biomass_focal9",2012,62,0.754536958356756
"biomass_focal9",2013,63,0.788732565918387
"biomass_focal9",2014,64,0.884382014667672
"biomass_focal9",2015,65,0.838866730452864
"biomass_focal9",2016,66,0.772550687554261
"biomass_focal9",2017,67,0.798819678209128
"biomass_focal9",2018,68,0.752571970946615
"biomass_focal9",2019,69,0.932458599646739
"biomass_focal9",2020,70,0.808414385916531
"biomass_focal9",2021,71,0.870953319323921
"biomass_focal9",2022,72,0.825595029653169
"biomass_focal9",2023,73,0.811169654775206
"biomass_focal9",2024,74,0.828831305152767
"biomass_focal9",2025,75,0.803475684252685
"biomass_all11_lo80",1951,1,NA
"biomass_all11_lo80",1952,2,NA
"biomass_all11_lo80",1953,3,1.1876833020568
"biomass_all11_lo80",1954,4,0.768171245920594
"biomass_all11_lo80",1955,5,0.971736697532677
"biomass_all11_lo80",1956,6,0.977229338546493
"biomass_all11_lo80",1957,7,0.951258554653405
"biomass_all11_lo80",1958,8,0.998321936089719
"biomass_all11_lo80",1959,9,0.897511022078412
"biomass_all11_lo80",1960,10,1.20926835268783
"biomass_all11_lo80",1961,11,1.145293202471
"biomass_all11_lo80",1962,12,1.02206451623259
"biomass_all11_lo80",1963,13,0.88805539611363
"biomass_all11_lo80",1964,14,1.00773435643532
"biomass_all11_lo80",1965,15,0.977205949036271
"biomass_all11_lo80",1966,16,0.804717052432877
"biomass_all11_lo80",1967,17,1.07122334254226
"biomass_all11_lo80",1968,18,1.00778930081745
"biomass_all11_lo80",1969,19,1.06835534417034
"biomass_all11_lo80",1970,20,1.06864292635904
"biomass_all11_lo80",1971,21,1.06497587909908
"biomass_all11_lo80",1972,22,1.03721744625801
"biomass_all11_lo80",1973,23,0.766802467276091
"biomass_all11_lo80",1974,24,0.791933940765736
"biomass_all11_lo80",1975,25,1.22460135507237
"biomass_all11_lo80",1976,26,1.13930196386473
"biomass_all11_lo80",1977,27,0.940207111828188
"biomass_all11_lo80",1978,28,0.961145806771749
"biomass_all11_lo80",1979,29,0.907315897831129
"biomass_all11_lo80",1980,30,0.702446129477332
"biomass_all11_lo80",1981,31,1.17669998071687
"biomass_all11_lo80",1982,32,1.23712942116533
"biomass_all11_lo80",1983,33,1.19907290510714
"biomass_all11_lo80",1984,34,1.24912987329367
"biomass_all11_lo80",1985,35,1.15310388308457
"biomass_all11_lo80",1986,36,1.20510985668889
"biomass_all11_lo80",1987,37,0.828659602906199
"biomass_all11_lo80",1988,38,0.82607431398108
"biomass_all11_lo80",1989,39,0.828210715756929
"biomass_all11_lo80",1990,40,0.838249229392689
"biomass_all11_lo80",1991,41,0.866193995184879
"biomass_all11_lo80",1992,42,1.12737568313732
"biomass_all11_lo80",1993,43,0.842194995765471
"biomass_all11_lo80",1994,44,0.725619526166221
"biomass_all11_lo80",1995,45,1.01335600439948
"biomass_all11_lo80",1996,46,1.05702517451382
"biomass_all11_lo80",1997,47,1.06188320973861
"biomass_all11_lo80",1998,48,1.04991540020803
"biomass_all11_lo80",1999,49,1.04566447296871
"biomass_all11_lo80",2000,50,1.03412363327131
"biomass_all11_lo80",2001,51,1.04234787850672
"biomass_all11_lo80",2002,52,1.00260118896993
"biomass_all11_lo80",2003,53,1.06707817013028
"biomass_all11_lo80",2004,54,1.02497038259893
"biomass_all11_lo80",2005,55,1.0435082001252
"biomass_all11_lo80",2006,56,1.05439254694119
"biomass_all11_lo80",2007,57,1.06918930013593
"biomass_all11_lo80",2008,58,1.06089892221684
"biomass_all11_lo80",2009,59,1.06819780943527
"biomass_all11_lo80",2010,60,1.00808239923484
"biomass_all11_lo80",2011,61,0.815081029135011
"biomass_all11_lo80",2012,62,0.766345052498546
"biomass_all11_lo80",2013,63,0.798680840957813
"biomass_all11_lo80",2014,64,0.853962838612463
"biomass_all11_lo80",2015,65,0.825367642831045
"biomass_all11_lo80",2016,66,0.795845193387331
"biomass_all11_lo80",2017,67,0.790772933902188
"biomass_all11_lo80",2018,68,0.771073568343899
"biomass_all11_lo80",2019,69,0.902858850603945
"biomass_all11_lo80",2020,70,0.811335110931186
"biomass_all11_lo80",2021,71,0.846198685174823
"biomass_all11_lo80",2022,72,0.825457964224707
"biomass_all11_lo80",2023,73,0.819951337057369
"biomass_all11_lo80",2024,74,0.822736376096934
"biomass_all11_lo80",2025,75,0.80638534516328
"biomass_all11_hi80",1951,1,NA
"biomass_all11_hi80",1952,2,NA
"biomass_all11_hi80",1953,3,0.920190739186341
"biomass_all11_hi80",1954,4,0.829611072452991
"biomass_all11_hi80",1955,5,0.85339858279112
"biomass_all11_hi80",1956,6,1.06271975671847
"biomass_all11_hi80",1957,7,1.1955817254801
"biomass_all11_hi80",1958,8,0.848442365491481
"biomass_all11_hi80",1959,9,0.885037443120113
"biomass_all11_hi80",1960,10,1.00664138840065
"biomass_all11_hi80",1961,11,0.933598287196898
"biomass_all11_hi80",1962,12,0.749819546121191
"biomass_all11_hi80",1963,13,0.79002608293347
"biomass_all11_hi80",1964,14,0.859162421144113
"biomass_all11_hi80",1965,15,0.824198034758167
"biomass_all11_hi80",1966,16,0.76472706406348
"biomass_all11_hi80",1967,17,0.988927269660137
