"era","dip","dip_p","n_obs","multimodal_sig"
"pre_closure_<=2005",0.037638522359809,0.850860510936786,55,FALSE
"post_closure_>2005",0.0621321684284826,0.797034639993335,20,FALSE
"full_series",0.0459492277722242,0.28222693007496,75,FALSE
