"state","n_obs","E","rho_simplex","rho_theta0","rho_theta_best","nl_delta","nl_p","nonlinear_sig","seed"
"biomass_all11",75,2,0.961906096129105,0.967330688277194,0.970876119900991,0.00354543162379684,0.261477045908184,FALSE,20260519
"biomass_focal9",75,2,0.931948862416452,0.9306777563148,0.938106024989868,0.00742826867506852,0.0778443113772455,FALSE,20260519
"biomass_all11_lo80",75,2,0.932260824536254,0.934323835910682,0.945539572965826,0.0112157370551433,0.0439121756487026,TRUE,20260519
"biomass_all11_hi80",75,2,0.709558671882911,0.998081776341635,0.998081776341635,0,1,FALSE,20260519
