"driver","rho_min","rho_max","converges_strict","converges_heuristic","state","E_used","seed"
"u",0.297887913190522,0.447282626821283,FALSE,TRUE,"biomass_all11",2,20260519
"effective_driver",0.0230263688784674,0.276917778190016,TRUE,TRUE,"biomass_all11",2,20260519
"pdo",-0.00913900454896792,0.303693621007394,TRUE,TRUE,"biomass_all11",2,20260519
"predation_pressure_index",0.366544200441923,0.529409372466212,TRUE,TRUE,"biomass_all11",2,20260519
