time,zlev,latitude,longitude,sst,anom
UTC,m,degrees_north,degrees_east,degree_C,degree_C
2016-01-01T12:00:00Z,0.0,51.625,-132.875,8.95,0.78
2016-01-01T12:00:00Z,0.0,51.625,-132.625,8.97,0.79
2016-01-01T12:00:00Z,0.0,51.625,-132.375,9.03,0.85
2016-01-01T12:00:00Z,0.0,51.625,-132.125,9.07,0.92
2016-01-01T12:00:00Z,0.0,51.625,-131.875,9.15,1.01
2016-01-01T12:00:00Z,0.0,51.625,-131.625,9.24,1.11
2016-01-01T12:00:00Z,0.0,51.625,-131.375,9.37,1.25
2016-01-01T12:00:00Z,0.0,51.625,-131.125,9.46,1.35
2016-01-01T12:00:00Z,0.0,51.625,-130.875,9.57,1.47
2016-01-01T12:00:00Z,0.0,51.625,-130.625,9.68,1.58
2016-01-01T12:00:00Z,0.0,51.625,-130.375,9.76,1.67
2016-01-01T12:00:00Z,0.0,51.625,-130.125,9.82,1.72
2016-01-01T12:00:00Z,0.0,51.625,-129.875,9.79,1.69
2016-01-01T12:00:00Z,0.0,51.625,-129.625,9.72,1.61
2016-01-01T12:00:00Z,0.0,51.625,-129.375,9.6,1.48
2016-01-01T12:00:00Z,0.0,51.625,-129.125,9.5,1.38
2016-01-01T12:00:00Z,0.0,51.875,-132.875,9.01,0.91
2016-01-01T12:00:00Z,0.0,51.875,-132.625,9.03,0.92
2016-01-01T12:00:00Z,0.0,51.875,-132.375,9.08,0.98
2016-01-01T12:00:00Z,0.0,51.875,-132.125,9.11,1.03
2016-01-01T12:00:00Z,0.0,51.875,-131.875,9.17,1.11
2016-01-01T12:00:00Z,0.0,51.875,-131.625,9.23,1.2
2016-01-01T12:00:00Z,0.0,51.875,-131.375,9.35,1.33
2016-01-01T12:00:00Z,0.0,51.875,-131.125,9.42,1.42
2016-01-01T12:00:00Z,0.0,51.875,-130.875,9.52,1.52
2016-01-01T12:00:00Z,0.0,51.875,-130.625,9.62,1.63
2016-01-01T12:00:00Z,0.0,51.875,-130.375,9.7,1.71
2016-01-01T12:00:00Z,0.0,51.875,-130.125,9.75,1.76
2016-01-01T12:00:00Z,0.0,51.875,-129.875,9.69,1.7
2016-01-01T12:00:00Z,0.0,51.875,-129.625,9.61,1.61
2016-01-01T12:00:00Z,0.0,51.875,-129.375,9.53,1.52
2016-01-01T12:00:00Z,0.0,51.875,-129.125,9.41,1.38
2016-01-01T12:00:00Z,0.0,52.125,-132.875,9.01,0.97
2016-01-01T12:00:00Z,0.0,52.125,-132.625,9.03,0.98
2016-01-01T12:00:00Z,0.0,52.125,-132.375,9.07,1.05
2016-01-01T12:00:00Z,0.0,52.125,-132.125,9.09,1.09
2016-01-01T12:00:00Z,0.0,52.125,-131.875,9.12,1.16
2016-01-01T12:00:00Z,0.0,52.125,-131.625,9.16,1.22
