time,zlev,latitude,longitude,sst,anom
UTC,m,degrees_north,degrees_east,degree_C,degree_C
2022-01-01T12:00:00Z,0.0,51.625,-132.875,7.27,-0.89
2022-01-01T12:00:00Z,0.0,51.625,-132.625,7.35,-0.83
2022-01-01T12:00:00Z,0.0,51.625,-132.375,7.43,-0.74
2022-01-01T12:00:00Z,0.0,51.625,-132.125,7.53,-0.63
2022-01-01T12:00:00Z,0.0,51.625,-131.875,7.6,-0.55
2022-01-01T12:00:00Z,0.0,51.625,-131.625,7.64,-0.49
2022-01-01T12:00:00Z,0.0,51.625,-131.375,7.65,-0.47
2022-01-01T12:00:00Z,0.0,51.625,-131.125,7.66,-0.45
2022-01-01T12:00:00Z,0.0,51.625,-130.875,7.69,-0.41
2022-01-01T12:00:00Z,0.0,51.625,-130.625,7.69,-0.41
2022-01-01T12:00:00Z,0.0,51.625,-130.375,7.74,-0.36
2022-01-01T12:00:00Z,0.0,51.625,-130.125,7.76,-0.34
2022-01-01T12:00:00Z,0.0,51.625,-129.875,7.79,-0.31
2022-01-01T12:00:00Z,0.0,51.625,-129.625,7.79,-0.32
2022-01-01T12:00:00Z,0.0,51.625,-129.375,7.79,-0.32
2022-01-01T12:00:00Z,0.0,51.625,-129.125,7.76,-0.36
2022-01-01T12:00:00Z,0.0,51.875,-132.875,6.96,-1.14
2022-01-01T12:00:00Z,0.0,51.875,-132.625,7.1,-1.01
2022-01-01T12:00:00Z,0.0,51.875,-132.375,7.28,-0.82
2022-01-01T12:00:00Z,0.0,51.875,-132.125,7.49,-0.59
2022-01-01T12:00:00Z,0.0,51.875,-131.875,7.65,-0.4
2022-01-01T12:00:00Z,0.0,51.875,-131.625,7.7,-0.33
2022-01-01T12:00:00Z,0.0,51.875,-131.375,7.7,-0.32
2022-01-01T12:00:00Z,0.0,51.875,-131.125,7.69,-0.32
2022-01-01T12:00:00Z,0.0,51.875,-130.875,7.71,-0.29
2022-01-01T12:00:00Z,0.0,51.875,-130.625,7.75,-0.24
2022-01-01T12:00:00Z,0.0,51.875,-130.375,7.78,-0.21
2022-01-01T12:00:00Z,0.0,51.875,-130.125,7.79,-0.2
2022-01-01T12:00:00Z,0.0,51.875,-129.875,7.76,-0.24
2022-01-01T12:00:00Z,0.0,51.875,-129.625,7.69,-0.31
2022-01-01T12:00:00Z,0.0,51.875,-129.375,7.58,-0.44
2022-01-01T12:00:00Z,0.0,51.875,-129.125,7.47,-0.56
2022-01-01T12:00:00Z,0.0,52.125,-132.875,6.71,-1.33
2022-01-01T12:00:00Z,0.0,52.125,-132.625,6.87,-1.17
2022-01-01T12:00:00Z,0.0,52.125,-132.375,7.12,-0.91
2022-01-01T12:00:00Z,0.0,52.125,-132.125,7.42,-0.57
2022-01-01T12:00:00Z,0.0,52.125,-131.875,7.62,-0.34
2022-01-01T12:00:00Z,0.0,52.125,-131.625,7.69,-0.25
2022-01-01T12:00:00Z,0.0,52.125,-131.375,7.67,-0.24
2022-01-01T12:00:00Z,0.0,52.125,-131.125,7.66,-0.24
2022-01-01T12:00:00Z,0.0,52.125,-130.875,7.7,-0.19
2022-01-01T12:00:00Z,0.0,52.125,-130.625,7.78,-0.09
2022-01-01T12:00:00Z,0.0,52.125,-130.375,7.87,0.0
2022-01-01T12:00:00Z,0.0,52.125,-130.125,7.85,-0.03
2022-01-01T12:00:00Z,0.0,52.125,-129.875,7.76,-0.13
2022-01-01T12:00:00Z,0.0,52.125,-129.625,7.58,-0.32
2022-01-01T12:00:00Z,0.0,52.125,-129.375,7.35,-0.56
2022-01-01T12:00:00Z,0.0,52.125,-129.125,7.13,-0.81
2022-01-01T12:00:00Z,0.0,52.375,-132.875,6.7,-1.28
2022-01-01T12:00:00Z,0.0,52.375,-132.625,6.86,-1.11
2022-01-01T12:00:00Z,0.0,52.375,-132.375,7.12,-0.84
2022-01-01T12:00:00Z,0.0,52.375,-132.125,7.41,-0.51
2022-01-01T12:00:00Z,0.0,52.375,-131.875,7.6,-0.28
2022-01-01T12:00:00Z,0.0,52.375,-131.625,7.62,-0.22
2022-01-01T12:00:00Z,0.0,52.375,-131.375,7.57,-0.24
